site,y.1,y.2,y.3,year,c.year,SITE,POINT,WMA,allgrss100,trees100,jdate.1,jdate.2,jdate.3,obs.1,obs.2,obs.3,minutes.1,minutes.2,minutes.3,cloud.1,cloud.2,cloud.3,wind.1,wind.2,wind.3,temp.1,temp.2,temp.3
MEDCNW.4,0,0,0,1,2010,MEDCNW.4,4,MEDCNW,0.654009,0.106535,10116,10143,10182,GDG,GDG,GDG,560,435,541,1,2,0,11.9,9.6,8.4,9.2,16.2,21.8
MEDCNW.5,0,0,0,1,2010,MEDCNW.5,5,MEDCNW,0.695961,0.105866,10116,10143,10182,GDG,GDG,GDG,499,501,423,0,70,0,3.7,7.2,0,7.5,20.6,17.4
MEDCNW.6,0,0,0,1,2010,MEDCNW.6,6,MEDCNW,0.718178,0.0917019,10116,10143,10182,GDG,GDG,GDG,466,533,446,0,5,0,4.6,21.1,1.6,5.4,0,19.2
MEDCNW.7,0,0,0,1,2010,MEDCNW.7,7,MEDCNW,0.674444,0.0856543,10116,10143,10182,GDG,GDG,GDG,588,399,508,5,1,0,18,12.1,4.1,11.3,16.6,21.7
MEDCNW.8,0,0,0,1,2010,MEDCNW.8,8,MEDCNW,0.718815,0.0875322,10116,10143,10182,GDG,GDG,GDG,445,549,465,5,90,0,9.4,11.1,7.3,3.3,23.1,18.7
MEDCNW.9,0,0,0,1,2010,MEDCNW.9,9,MEDCNW,0.666741,0.106376,10116,10143,10182,GDG,GDG,GDG,545,451,557,2,5,0,12.7,12.9,9.3,9.2,17.2,24.5
MEDCSE.1,0,0,0,1,2010,MEDCSE.1,1,MEDCSE,0.44721,0.0840628,10113,10142,10190,GDG,CFJ,JDW,534,404,536,98,80,5,7.1,4,2.2,14,21.4,22.3
MEDCSE.2,0,0,0,1,2010,MEDCSE.2,2,MEDCSE,0.460388,0.0755324,10113,10142,10190,GDG,CFJ,JDW,554,430,401,100,80,5,5.4,1.5,0,14.3,21.4,16.7
MEDCSE.3,0,0,0,1,2010,MEDCSE.3,3,MEDCSE,0.46825,0.077665,10113,10142,10190,GDG,CFJ,JDW,572,447,414,100,90,5,4.3,9.8,2,14.1,21.5,14.9
MEDCSE.4,0,0,0,1,2010,MEDCSE.4,4,MEDCSE,0.470669,0.0840309,10113,10142,10190,GDG,GDG,JDW,585,418,424,95,85,5,2.1,3.4,0,14.4,21.8,15.1
MEDCSE.5,0,0,0,1,2010,MEDCSE.5,5,MEDCSE,0.491581,0.0793201,10113,10142,10190,CFJ,GDG,JDW,562,446,503,100,80,5,5.2,11.4,3,13.5,22.4,17.4
MEDCSE.6,0,0,0,1,2010,MEDCSE.6,6,MEDCSE,0.504281,0.0828532,10113,10142,10190,GDG,GDG,JDW,599,434,439,85,80,5,5.7,1.5,1.4,14,22.8,16.8
MEDCSE.7,0,0,0,1,2010,MEDCSE.7,7,MEDCSE,0.520132,0.078779,10113,10142,10190,CFJ,JDW,JDW,575,422,492,100,75,5,4.9,8.3,2.1,15.5,21,18.3
MEDCSE.8,0,0,0,1,2010,MEDCSE.8,8,MEDCSE,0.551007,0.0819302,10113,10142,10190,CFJ,JDW,JDW,605,436,461,100,80,5,4.1,7,2.6,15.9,21,15.8
MEDCSE.9,0,0,0,1,2010,MEDCSE.9,9,MEDCSE,0.52653,0.0807206,10113,10142,10190,CFJ,JDW,JDW,588,448,473,100,70,5,2.1,7.1,1.9,16.1,21.4,19.5
MEDCSW.1,0,0,0,1,2010,MEDCSW.1,1,MEDCSW,0.691441,0.0679568,10116,10143,10182,CFJ,JDW,JDW,594,504,400,1,50,0,14.4,11.8,3.3,9.3,18.5,16.8
MEDCSW.2,0,0,0,1,2010,MEDCSW.2,2,MEDCSW,0.618614,0.0945666,10116,10143,10182,CFJ,JDW,JDW,554,387,533,1,0,0,8.8,9.7,8,12.2,16.2,21.1
MEDCSW.3,0,0,0,1,2010,MEDCSW.3,3,MEDCSW,0.643983,0.0839354,10116,10143,10182,CFJ,JDW,JDW,539,405,500,1,0,0,10.8,7.4,5.4,13.6,16,20.1
MEDCSW.4,0,0,0,1,2010,MEDCSW.4,4,MEDCSW,0.673903,0.0724767,10116,10143,10182,CFJ,JDW,JDW,600,515,411,2,25,0,13.7,6.4,3,10.3,21,19.1
MEDCSW.5,0,0,0,1,2010,MEDCSW.5,5,MEDCSW,0.64325,0.0807206,10116,10143,10182,CFJ,JDW,JDW,475,473,436,5,50,0,3.8,4.6,3.2,7.7,18,18.8
MEDCSW.6,0,0,0,1,2010,MEDCSW.6,6,MEDCSW,0.630073,0.087023,10116,10143,10182,CFJ,JDW,JDW,488,457,449,1,20,0,5.2,9.8,4.8,6.4,17,18.6
MEDCSW.7,0,0,0,1,2010,MEDCSW.7,7,MEDCSW,0.66047,0.0719356,10116,10143,10182,CFJ,JDW,JDW,453,489,421,10,50,0,8.6,11.6,1.1,4.5,18.6,20.2
MEDCSW.8,0,0,0,1,2010,MEDCSW.8,8,MEDCSW,0.602317,0.0987045,10116,10143,10182,CFJ,JDW,JDW,569,376,527,1,0,0,10,9.2,7.7,12,17.7,21.5
MEDCSW.9,0,0,0,1,2010,MEDCSW.9,9,MEDCSW,0.72343,0.0646147,10116,10143,10182,CFJ,JDW,JDW,513,429,470,2,0,0,7.8,10.2,3.8,7.9,17.5,20.9
MER.1,0,0,0,1,2010,MER.1,1,MER,0.534169,0.15985,10129,10148,10165,GDG,GDG,GDG,545,400,463,85,0,100,12,0,0,10.5,15.9,22.3
MER.2,0,0,0,1,2010,MER.2,2,MER,0.499889,0.162396,10129,10148,10165,GDG,GDG,GDG,429,523,500,95,0,99,9.1,6.3,2.3,9.8,24.4,22
MER.3,0,0,0,1,2010,MER.3,3,MER,0.525289,0.138874,10129,10148,10165,GDG,GDG,GDG,502,448,420,100,0,100,8.4,2.8,3.5,10.3,21.3,21.7
MER.4,0,0,0,1,2010,MER.4,4,MER,0.510965,0.161696,10129,10148,10165,GDG,GDG,GDG,412,546,485,100,0,100,5.3,2.2,0,10,25.7,21.6
MER.5,0,0,0,1,2010,MER.5,5,MER,0.501576,0.160168,10129,10148,10165,GDG,GDG,GDG,444,509,514,95,0,99,7.7,4.6,3.1,9.4,23.8,22.3
MER.6,0,0,0,1,2010,MER.6,6,MER,0.535411,0.162778,10129,10148,10165,GDG,GDG,GDG,533,417,444,95,0,95,12.4,2.1,0,10.5,17.9,21.4
MER.7,0,0,1,1,2010,MER.7,7,MER,0.526848,0.153484,10129,10148,10165,GDG,GDG,GDG,487,463,406,95,0,100,9.9,5.5,2.9,10.3,21.7,22.6
MER.8,0,0,0,1,2010,MER.8,8,MER,0.526339,0.158895,10129,10148,10165,GDG,GDG,GDG,462,483,536,90,0,100,1.5,2,0,10.1,22.7,22.4
MER.9,0,0,0,1,2010,MER.9,9,MER,0.538244,0.153229,10129,10148,10165,GDG,GDG,GDG,520,431,433,100,0,90,7.9,2.1,1.4,10.7,20,21
OSAG.1,0,0,0,1,2010,OSAG.1,1,OSAG,0.771143,0.107585,10131,10151,10179,CFJ,GDG,GDG,475,553,423,100,0,15,2.5,2.3,3.2,12.4,21.7,21.4
OSAG.2,0,0,0,1,2010,OSAG.2,2,OSAG,0.769424,0.104275,10131,10151,10179,GDG,GDG,GDG,463,382,572,95,2,40,5.6,0,1.8,10.6,14.9,29.5
OSAG.3,0,0,0,1,2010,OSAG.3,3,OSAG,0.765382,0.10819,10131,10151,10179,CFJ,GDG,GDG,446,514,458,100,0,25,6.5,4,1.6,11.8,19.7,23.6
OSAG.4,0,0,0,1,2010,OSAG.4,4,OSAG,0.77057,0.104911,10131,10151,10179,GDG,GDG,GDG,443,403,553,95,0,25,3.3,0,0,10.8,14.9,29.7
OSAG.5,0,0,0,1,2010,OSAG.5,5,OSAG,0.765732,0.109813,10131,10151,10179,JDW,GDG,GDG,460,584,396,100,0,15,5.1,5,2.1,10.8,26.6,21.1
OSAG.6,0,0,0,1,2010,OSAG.6,6,OSAG,0.771334,0.106025,10131,10151,10179,CFJ,GDG,GDG,460,533,437,100,0,20,5.4,1.5,2.4,11.8,22.9,21.4
OSAG.7,0,0,0,1,2010,OSAG.7,7,OSAG,0.76901,0.108285,10131,10151,10179,GDG,GDG,GDG,403,453,496,100,0,30,4.5,5.3,3.4,12,20.3,25.7
OSAG.8,0,0,0,1,2010,OSAG.8,8,OSAG,0.762358,0.108858,10131,10151,10179,CFJ,GDG,GDG,419,495,480,100,0,25,5,5.2,2.3,12.1,19.1,24.2
